GENDER,ACTIVE,DISTRESS,DISLAT,DURATION,SMILAU,SOOTH,ATTRACT,COND,BEHAVE,BABYSEX,CUTENESS,CELL,TOTALNEG,TOTALPOS,REVTOTNE,TOTAL
1.0,3.47,3.4,3.56,4.45,4.73,3.9,6.0,5.0,1.0,1.0,2.0,9.0,10.43,13.080000000000002,10.57,23.650000000000002
1.0,2.71,3.2,3.69,3.91,5.27,4.64,5.0,5.0,1.0,1.0,2.0,9.0,9.6,13.82,11.4,25.22
2.0,3.53,3.25,4.56,5.18,3.93,4.45,6.0,5.0,1.0,1.0,2.0,10.0,11.34,13.56,9.66,23.22
2.0,4.29,3.05,3.0,5.09,5.47,5.91,8.0,5.0,1.0,1.0,2.0,10.0,10.34,16.47,10.66,27.13
2.0,3.0,2.8,2.75,4.55,5.0,4.82,6.0,5.0,1.0,1.0,2.0,10.0,8.55,14.370000000000001,12.45,26.82
2.0,2.76,2.45,3.94,3.82,3.0,3.7,3.0,5.0,1.0,1.0,2.0,10.0,9.15,10.52,11.85,22.369999999999997
2.0,3.65,3.35,2.06,3.8,4.4,4.2,7.0,5.0,1.0,1.0,2.0,10.0,9.06,12.400000000000002,11.94,24.340000000000003
2.0,4.88,4.85,3.56,4.0,3.73,4.64,3.0,5.0,1.0,1.0,2.0,10.0,13.290000000000001,12.37,7.709999999999999,20.08
2.0,2.76,3.4,3.88,3.55,3.27,4.8,4.0,5.0,1.0,1.0,2.0,10.0,10.04,11.620000000000001,10.96,22.580000000000002
2.0,3.88,3.65,3.5,4.73,4.6,4.8,5.0,5.0,1.0,1.0,2.0,10.0,11.03,14.129999999999999,9.97,24.1
2.0,4.65,3.5,3.13,5.18,5.73,5.2,6.0,5.0,1.0,1.0,2.0,10.0,11.280000000000001,16.11,9.719999999999999,25.83
2.0,3.53,3.25,3.5,4.36,4.93,4.55,6.0,5.0,1.0,1.0,2.0,10.0,10.28,13.84,10.72,24.560000000000002
1.0,4.0,5.9,6.0,2.45,2.07,4.1,5.0,6.0,2.0,1.0,2.0,11.0,15.9,8.620000000000001,5.1,13.72
1.0,5.53,5.5,5.44,2.64,2.67,2.36,7.0,6.0,2.0,1.0,2.0,11.0,16.470000000000002,7.67,4.529999999999998,12.199999999999998
1.0,5.65,4.85,3.56,3.09,4.8,3.82,8.0,6.0,2.0,1.0,2.0,11.0,14.06,11.709999999999999,6.9399999999999995,18.65
1.0,5.71,5.95,5.25,2.1,2.73,3.0,4.0,6.0,2.0,1.0,2.0,11.0,16.91,7.83,4.09,11.92
1.0,4.88,4.45,4.13,3.55,3.93,4.2,5.0,6.0,2.0,1.0,2.0,11.0,13.46,11.68,7.539999999999999,19.22
1.0,4.41,4.65,4.44,3.64,3.53,3.9,4.0,6.0,2.0,1.0,2.0,11.0,13.5,11.07,7.5,18.57
1.0,6.18,6.35,5.5,3.09,3.07,2.7,5.0,6.0,2.0,1.0,2.0,11.0,18.03,8.86,2.969999999999999,11.829999999999998
1.0,5.0,5.35,4.5,3.27,3.2,3.7,6.0,6.0,2.0,1.0,2.0,11.0,14.85,10.17,6.15,16.32
1.0,4.76,4.9,4.56,3.91,4.4,5.36,7.0,6.0,2.0,1.0,2.0,11.0,14.219999999999999,13.670000000000002,6.780000000000001,20.450000000000003
1.0,5.65,5.7,5.75,3.91,3.6,3.4,4.0,6.0,2.0,1.0,2.0,11.0,17.1,10.91,3.8999999999999986,14.809999999999999
1.0,4.71,4.8,4.31,3.91,3.67,4.18,6.0,6.0,2.0,1.0,2.0,11.0,13.82,11.76,7.18,18.939999999999998
1.0,5.35,5.15,5.44,2.73,2.6,3.7,4.0,6.0,2.0,1.0,2.0,11.0,15.940000000000001,9.030000000000001,5.059999999999999,14.09
1.0,4.94,4.65,4.56,3.36,3.4,3.8,7.0,6.0,2.0,1.0,2.0,11.0,14.149999999999999,10.559999999999999,6.850000000000001,17.41
1.0,5.14,5.15,5.38,2.9,3.0,4.2,7.0,6.0,2.0,1.0,2.0,11.0,15.669999999999998,10.1,5.330000000000002,15.430000000000001
2.0,4.65,4.8,4.63,3.82,3.67,4.64,7.0,6.0,2.0,1.0,2.0,12.0,14.079999999999998,12.129999999999999,6.920000000000002,19.05
2.0,6.47,5.75,5.63,2.82,3.6,4.27,7.0,6.0,2.0,1.0,2.0,12.0,17.849999999999998,10.69,3.150000000000002,13.840000000000002
2.0,3.88,4.65,4.31,3.36,4.07,4.2,7.0,6.0,2.0,1.0,2.0,12.0,12.84,11.629999999999999,8.16,19.79
2.0,5.53,6.2,6.0,5.55,4.62,5.0,9.0,6.0,2.0,1.0,2.0,12.0,17.73,15.170000000000002,3.2699999999999996,18.44
2.0,5.41,5.05,4.81,2.91,3.27,4.4,5.0,6.0,2.0,1.0,2.0,12.0,15.27,10.58,5.73,16.310000000000002
2.0,4.82,5.05,4.94,3.36,3.73,3.9,4.0,6.0,2.0,1.0,2.0,12.0,14.810000000000002,10.99,6.189999999999998,17.18
2.0,4.0,3.95,4.0,3.82,3.6,3.64,5.0,6.0,2.0,1.0,2.0,12.0,11.95,11.06,9.05,20.11
2.0,3.65,4.45,4.0,2.27,2.87,3.22,4.0,6.0,2.0,1.0,2.0,12.0,12.1,8.36,8.9,17.259999999999998
2.0,6.12,5.5,6.0,3.09,3.47,3.09,7.0,6.0,2.0,1.0,2.0,12.0,17.62,9.65,3.379999999999999,13.03
2.0,4.35,4.6,4.94,4.4,4.67,4.82,5.0,6.0,2.0,1.0,2.0,12.0,13.89,13.89,7.109999999999999,21.0
1.0,4.18,4.15,4.06,4.64,4.33,5.0,7.0,7.0,1.0,2.0,2.0,13.0,12.39,13.969999999999999,8.61,22.58
1.0,3.06,3.5,4.75,4.55,3.2,4.4,5.0,7.0,1.0,2.0,2.0,13.0,11.31,12.15,9.69,21.84
1.0,4.18,3.75,4.19,4.27,3.87,4.4,8.0,7.0,1.0,2.0,2.0,13.0,12.120000000000001,12.54,8.879999999999999,21.419999999999998
1.0,3.76,3.85,3.69,4.27,4.0,4.4,7.0,7.0,1.0,2.0,2.0,13.0,11.299999999999999,12.67,9.700000000000001,22.37
1.0,2.53,2.45,1.94,6.18,5.4,5.27,6.0,7.0,1.0,2.0,2.0,13.0,6.92,16.85,14.08,30.93
1.0,4.71,4.9,3.38,5.36,5.27,4.9,6.0,7.0,1.0,2.0,2.0,13.0,12.989999999999998,15.530000000000001,8.010000000000002,23.540000000000003
1.0,4.06,4.4,3.69,4.0,3.47,4.0,4.0,7.0,1.0,2.0,2.0,13.0,12.15,11.47,8.85,20.32
1.0,4.18,3.25,3.5,5.45,5.73,5.4,9.0,7.0,1.0,2.0,2.0,13.0,10.93,16.580000000000002,10.07,26.650000000000002
1.0,4.94,3.7,3.56,4.55,3.93,4.1,7.0,7.0,1.0,2.0,2.0,13.0,12.200000000000001,12.579999999999998,8.799999999999999,21.379999999999995
1.0,3.53,5.6,4.75,2.45,4.33,3.6,8.0,7.0,1.0,2.0,2.0,13.0,13.879999999999999,10.379999999999999,7.120000000000001,17.5
1.0,3.12,3.35,3.89,3.64,4.53,4.1,6.0,7.0,1.0,2.0,2.0,13.0,10.360000000000001,12.27,10.639999999999999,22.909999999999997
1.0,4.65,4.9,3.38,4.36,4.87,3.55,6.0,7.0,1.0,2.0,2.0,13.0,12.93,12.780000000000001,8.07,20.85
1.0,4.71,5.05,4.5,3.55,3.4,3.7,4.0,7.0,1.0,2.0,2.0,13.0,14.26,10.649999999999999,6.74,17.39
2.0,5.94,3.75,2.81,5.45,6.07,4.7,7.0,7.0,1.0,2.0,2.0,14.0,12.500000000000002,16.22,8.499999999999998,24.72
2.0,3.18,3.25,3.5,4.45,3.93,3.82,6.0,7.0,1.0,2.0,2.0,14.0,9.93,12.2,11.07,23.27
2.0,2.24,1.9,2.81,4.55,5.93,4.2,7.0,7.0,1.0,2.0,2.0,14.0,6.950000000000001,14.68,14.049999999999999,28.729999999999997
2.0,1.89,2.2,2.75,4.82,2.47,2.8,4.0,7.0,1.0,2.0,2.0,14.0,6.84,10.09,14.16,24.25
2.0,5.47,3.65,3.69,4.09,5.33,4.45,8.0,7.0,1.0,2.0,2.0,14.0,12.809999999999999,13.870000000000001,8.190000000000001,22.060000000000002
2.0,3.59,4.8,4.75,4.0,2.8,5.0,5.0,7.0,1.0,2.0,2.0,14.0,13.14,11.8,7.859999999999999,19.66
2.0,4.0,4.05,4.0,3.91,4.0,4.1,5.0,7.0,1.0,2.0,2.0,14.0,12.05,12.01,8.95,20.96
2.0,6.5,4.95,4.06,4.55,4.27,4.64,5.0,7.0,1.0,2.0,2.0,14.0,15.509999999999998,13.46,5.490000000000002,18.950000000000003
2.0,4.53,4.05,3.69,5.36,4.6,4.55,7.0,7.0,1.0,2.0,2.0,14.0,12.27,14.509999999999998,8.73,23.24
2.0,4.94,5.0,4.75,5.0,4.47,4.6,6.0,7.0,1.0,2.0,2.0,14.0,14.690000000000001,14.07,6.309999999999999,20.38
1.0,6.0,3.15,3.13,3.64,3.73,4.1,8.0,7.0,1.0,2.0,2.0,15.0,12.280000000000001,11.47,8.719999999999999,20.189999999999998
1.0,4.88,5.47,5.13,2.82,3.67,3.55,7.0,8.0,2.0,2.0,2.0,15.0,15.48,10.04,5.52,15.559999999999999
1.0,5.06,5.11,5.25,3.7,3.13,4.1,2.0,8.0,2.0,2.0,2.0,15.0,15.42,10.93,5.58,16.509999999999998
1.0,4.29,4.55,4.75,3.18,3.4,3.3,5.0,8.0,2.0,2.0,2.0,15.0,13.59,9.879999999999999,7.41,17.29
1.0,4.65,5.6,5.31,4.45,4.67,5.36,3.0,8.0,2.0,2.0,2.0,15.0,15.559999999999999,14.48,5.440000000000001,19.92
1.0,5.06,6.25,5.94,2.82,3.6,3.1,7.0,8.0,2.0,2.0,2.0,15.0,17.25,9.52,3.75,13.27
1.0,6.18,6.2,6.13,2.91,1.67,1.8,3.0,8.0,2.0,2.0,2.0,15.0,18.509999999999998,6.38,2.490000000000002,8.870000000000001
1.0,6.71,6.45,6.81,2.0,1.8,2.45,4.0,8.0,2.0,2.0,2.0,15.0,19.97,6.25,1.0300000000000011,7.280000000000001
1.0,5.12,5.65,5.0,3.73,3.6,3.82,5.0,8.0,2.0,2.0,2.0,15.0,15.77,11.15,5.23,16.380000000000003
1.0,5.06,5.2,4.63,3.73,3.6,3.91,7.0,8.0,2.0,2.0,2.0,15.0,14.89,11.24,6.109999999999999,17.35
